time,open,high,low,close,volume
2018-05-24 00:00:00,1293.8,1295.7,1292.75,1294.9,3612
2018-05-24 04:00:00,1294.95,1295.55,1293.55,1295.05,6203
2018-05-24 08:00:00,1295.0,1297.35,1292.55,1296.85,10356
2018-05-24 12:00:00,1296.9,1300.15,1295.35,1298.55,8942
2018-05-24 16:00:00,1298.5,1306.55,1297.8,1304.65,14575
2018-05-24 20:00:00,1304.6,1306.05,1304.1,1304.25,4881
2018-05-25 00:00:00,1304.3,1305.45,1302.25,1302.25,3527
2018-05-25 04:00:00,1302.3,1302.9,1301.45,1302.25,4148
2018-05-25 08:00:00,1302.3,1305.45,1301.6,1304.95,8953
2018-05-25 12:00:00,1304.9,1307.55,1303.05,1307.35,10500
2018-05-25 16:00:00,1307.25,1307.75,1302.25,1303.45,12191
2018-05-25 20:00:00,1303.5,1304.3,1299.75,1300.55,4158
2018-05-28 00:00:00,1299.75,1299.85,1296.1,1298.8,2936
2018-05-28 04:00:00,1298.85,1299.7,1297.15,1298.8,4927
2018-05-28 08:00:00,1298.8,1298.9,1295.3,1297.2,7945
2018-05-28 12:00:00,1297.25,1300.2,1296.6,1297.85,10203
2018-05-28 16:00:00,1297.8,1299.25,1296.7,1297.75,6759
2018-05-28 20:00:00,1297.8,1297.8,1297.8,1297.8,1
2018-05-29 00:00:00,1297.6,1301.2,1296.9,1299.95,3547
2018-05-29 04:00:00,1300.0,1300.05,1297.2,1297.8,5690
2018-05-29 08:00:00,1297.75,1306.5,1295.8,1303.95,15139
2018-05-29 12:00:00,1303.9,1305.2,1296.5,1297.7,20214
2018-05-29 16:00:00,1297.65,1304.55,1292.4,1301.95,21051
2018-05-29 20:00:00,1302.05,1304.15,1298.4,1298.6,10895
2018-05-30 00:00:00,1298.8,1302.75,1298.5,1301.75,4853
2018-05-30 04:00:00,1301.8,1302.6,1297.4,1298.55,6288
2018-05-30 08:00:00,1298.5,1300.4,1295.7,1298.8,14504
2018-05-30 12:00:00,1298.75,1302.25,1296.35,1300.4,16481
2018-05-30 16:00:00,1300.3,1304.25,1299.8,1301.85,16848
2018-05-30 20:00:00,1301.9,1302.45,1300.9,1301.55,4894
2018-05-31 00:00:00,1301.25,1304.7,1301.0,1303.05,3733
2018-05-31 04:00:00,1303.15,1303.45,1301.05,1303.1,4612
2018-05-31 08:00:00,1303.05,1306.9,1303.0,1304.55,9839
2018-05-31 12:00:00,1304.65,1305.4,1297.95,1299.55,11833
2018-05-31 16:00:00,1299.6,1306.15,1298.3,1301.65,19676
2018-05-31 20:00:00,1301.6,1301.85,1296.6,1298.2,7914
2018-06-01 00:00:00,1298.8,1300.0,1297.75,1299.35,2527
2018-06-01 04:00:00,1299.3,1300.4,1297.55,1298.5,5562
2018-06-01 08:00:00,1298.45,1299.95,1297.7,1299.15,8312
