<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.11	04:00:00	2378.775	2382.487	2378.638	2381.885	3053	0	199
2024.07.11	05:00:00	2381.954	2383.012	2381.177	2382.523	4011	0	199
2024.07.11	06:00:00	2382.477	2383.197	2378.465	2381.775	4771	0	199
2024.07.11	07:00:00	2381.725	2381.969	2378.800	2379.887	4545	0	199
2024.07.11	08:00:00	2379.924	2384.100	2379.541	2381.328	4986	0	199
2024.07.11	09:00:00	2381.287	2384.526	2381.287	2383.932	4036	0	199
2024.07.11	10:00:00	2383.946	2383.987	2380.375	2382.225	3924	0	199
2024.07.11	11:00:00	2382.183	2383.369	2378.999	2380.794	4404	0	199
2024.07.11	12:00:00	2380.752	2409.781	2378.108	2406.309	19909	0	199
2024.07.11	13:00:00	2406.259	2413.023	2395.803	2406.613	26819	0	199
2024.07.11	14:00:00	2406.675	2417.863	2404.321	2417.620	15424	0	199
2024.07.11	15:00:00	2417.673	2424.538	2412.448	2417.353	12315	0	199
2024.07.11	16:00:00	2417.303	2419.246	2411.567	2411.649	7755	0	199
2024.07.11	17:00:00	2411.622	2416.636	2410.006	2413.621	7050	0	199
2024.07.11	18:00:00	2413.602	2416.595	2412.919	2416.378	4619	0	199
2024.07.11	19:00:00	2416.335	2418.666	2414.046	2414.080	4463	0	199
2024.07.11	20:00:00	2414.137	2415.094	2413.094	2414.775	2742	0	200
2024.07.11	22:00:00	2414.522	2414.522	2411.106	2413.968	2588	0	200
2024.07.11	23:00:00	2413.914	2416.001	2411.917	2415.851	4333	0	199
2024.07.12	00:00:00	2415.855	2416.252	2410.997	2411.959	4909	0	199
2024.07.12	01:00:00	2411.948	2414.232	2407.043	2407.895	5892	0	199
2024.07.12	02:00:00	2407.937	2410.916	2406.649	2409.576	4776	0	199
2024.07.12	03:00:00	2409.526	2410.189	2408.538	2408.778	3581	0	199
2024.07.12	04:00:00	2408.779	2409.923	2408.128	2408.620	2840	0	200
2024.07.12	05:00:00	2408.658	2410.070	2405.386	2408.016	4647	0	199
2024.07.12	06:00:00	2407.969	2408.249	2402.154	2404.086	5777	0	199
2024.07.12	07:00:00	2404.105	2405.510	2400.283	2404.174	5576	0	199
2024.07.12	08:00:00	2404.100	2408.127	2403.694	2407.315	5241	0	199
2024.07.12	09:00:00	2407.369	2408.311	2403.070	2404.907	4479	0	199
2024.07.12	10:00:00	2404.858	2405.482	2399.764	2400.178	4623	0	199
2024.07.12	11:00:00	2400.230	2402.668	2398.284	2401.711	4717	0	199
2024.07.12	12:00:00	2401.766	2404.262	2391.363	2397.860	13975	0	199
2024.07.12	13:00:00	2397.913	2405.672	2396.771	2403.719	14187	0	199
2024.07.12	14:00:00	2403.678	2410.903	2403.678	2408.863	10887	0	199
2024.07.12	15:00:00	2408.866	2413.692	2408.007	2411.715	6791	0	199
2024.07.12	16:00:00	2411.752	2416.912	2411.698	2415.903	5128	0	199
2024.07.12	17:00:00	2415.894	2418.233	2414.455	2417.778	4286	0	199
2024.07.12	18:00:00	2417.828	2417.949	2413.863	2414.137	3618	0	199
2024.07.12	19:00:00	2414.149	2414.748	2412.167	2412.823	3769	0	199
2024.07.12	20:00:00	2412.771	2412.771	2411.262	2411.399	2308	0	199
2024.07.14	22:00:00	2411.618	2412.245	2406.870	2407.600	3487	0	179
2024.07.14	23:00:00	2407.583	2408.707	2405.666	2408.653	3055	0	180
2024.07.15	00:00:00	2408.657	2408.857	2406.256	2408.408	3634	0	180
2024.07.15	01:00:00	2408.438	2410.327	2404.886	2409.950	5616	0	179
2024.07.15	02:00:00	2410.007	2410.890	2408.156	2409.155	4526	0	180
2024.07.15	03:00:00	2409.152	2411.970	2408.636	2411.556	3269	0	179
2024.07.15	04:00:00	2411.594	2413.354	2410.643	2411.480	2733	0	179
2024.07.15	05:00:00	2411.464	2413.973	2407.922	2408.113	4285	0	179
2024.07.15	06:00:00	2408.140	2408.281	2401.969	2403.198	5766	0	179
2024.07.15	07:00:00	2403.131	2407.926	2401.307	2407.881	6004	0	179
2024.07.15	08:00:00	2407.897	2412.057	2406.872	2411.992	4840	0	179
2024.07.15	09:00:00	2411.978	2412.560	2407.692	2410.700	4895	0	179
2024.07.15	10:00:00	2410.692	2415.793	2410.692	2414.761	4859	0	179
2024.07.15	11:00:00	2414.751	2420.321	2414.495	2418.231	6204	0	179
2024.07.15	12:00:00	2418.237	2420.848	2413.428	2414.773	7853	0	179
2024.07.15	13:00:00	2414.762	2419.273	2411.496	2419.101	9717	0	179
2024.07.15	14:00:00	2419.035	2431.990	2418.091	2431.555	10158	0	162
2024.07.15	15:00:00	2431.504	2437.451	2431.408	2433.281	10526	0	179
2024.07.15	16:00:00	2433.259	2439.767	2429.523	2430.171	10668	0	179
2024.07.15	17:00:00	2430.135	2430.216	2420.420	2421.488	9511	0	179
2024.07.15	18:00:00	2421.525	2424.797	2419.723	2422.421	5570	0	179
2024.07.15	19:00:00	2422.391	2423.251	2420.209	2421.089	5136	0	179
2024.07.15	20:00:00	2421.146	2422.429	2420.587	2422.115	2351	0	179
2024.07.15	22:00:00	2421.728	2422.186	2420.896	2420.989	1621	0	179
2024.07.15	23:00:00	2420.981	2422.729	2420.956	2422.494	2170	0	179
2024.07.16	00:00:00	2422.483	2422.878	2419.914	2421.219	3671	0	179
2024.07.16	01:00:00	2421.232	2427.694	2421.171	2427.219	6220	0	179
2024.07.16	02:00:00	2427.226	2430.252	2426.048	2430.133	5280	0	179
2024.07.16	03:00:00	2430.087	2431.435	2426.579	2428.578	4319	0	179
2024.07.16	04:00:00	2428.582	2429.532	2425.023	2429.352	3746	0	179
2024.07.16	05:00:00	2429.283	2432.798	2428.123	2431.870	5296	0	179
2024.07.16	06:00:00	2431.890	2433.837	2428.066	2433.837	5892	0	179
2024.07.16	07:00:00	2433.936	2439.339	2432.524	2436.968	6324	0	179
2024.07.16	08:00:00	2436.951	2438.584	2433.607	2436.517	6126	0	179
2024.07.16	09:00:00	2436.545	2443.409	2435.048	2442.381	6126	0	179
2024.07.16	10:00:00	2442.426	2443.415	2439.651	2440.090	5161	0	179
2024.07.16	11:00:00	2440.139	2442.474	2438.092	2439.521	5663	0	180
2024.07.16	12:00:00	2439.494	2443.985	2429.334	2432.564	13804	0	179
2024.07.16	13:00:00	2432.533	2448.002	2430.950	2442.760	14141	0	179
2024.07.16	14:00:00	2442.770	2454.031	2440.530	2452.025	11158	0	179
2024.07.16	15:00:00	2451.987	2465.283	2451.857	2463.099	11573	0	179
2024.07.16	16:00:00	2463.125	2463.704	2457.834	2459.165	8238	0	179
2024.07.16	17:00:00	2459.157	2466.406	2458.657	2464.631	6086	0	179
2024.07.16	18:00:00	2464.593	2466.599	2462.423	2465.339	5190	0	179
2024.07.16	19:00:00	2465.376	2468.700	2463.200	2468.483	4598	0	179
2024.07.16	20:00:00	2468.537	2469.806	2466.824	2468.876	3375	0	179
2024.07.16	22:00:00	2468.399	2469.967	2466.245	2468.969	2964	0	179
2024.07.16	23:00:00	2468.973	2469.769	2467.355	2468.278	2903	0	179
2024.07.17	00:00:00	2468.268	2473.330	2466.104	2468.773	5591	0	179
2024.07.17	01:00:00	2468.747	2481.242	2468.542	2479.403	11285	0	179
2024.07.17	02:00:00	2479.453	2482.365	2469.586	2474.502	7768	0	179
2024.07.17	03:00:00	2474.474	2474.519	2463.910	2471.702	7178	0	179
2024.07.17	04:00:00	2471.677	2472.744	2467.669	2467.816	4637	0	179
2024.07.17	05:00:00	2467.821	2471.023	2465.385	2465.415	6032	0	179
2024.07.17	06:00:00	2465.398	2467.511	2461.756	2466.453	7953	0	179
2024.07.17	07:00:00	2466.484	2474.324	2464.139	2474.104	7988	0	179
2024.07.17	08:00:00	2474.066	2478.844	2471.519	2474.974	8555	0	179
2024.07.17	09:00:00	2474.945	2475.486	2469.724	2475.023	6742	0	179
2024.07.17	10:00:00	2475.051	2476.357	2466.656	2467.829	6353	0	179
2024.07.17	11:00:00	2467.793	2473.209	2467.203	2470.029	6860	0	179
2024.07.17	12:00:00	2470.059	2475.361	2468.715	2473.379	8285	0	179
2024.07.17	13:00:00	2473.341	2483.443	2471.151	2482.960	15466	0	179
2024.07.17	14:00:00	2482.911	2483.707	2461.055	2463.738	19704	0	179
2024.07.17	15:00:00	2463.710	2465.965	2458.014	2463.374	14269	0	179
2024.07.17	16:00:00	2463.422	2465.106	2452.839	2455.646	9269	0	179
2024.07.17	17:00:00	2455.667	2459.270	2451.854	2452.566	7340	0	179
2024.07.17	18:00:00	2452.592	2458.113	2451.407	2457.905	5253	0	179
2024.07.17	19:00:00	2457.936	2460.422	2457.015	2457.986	4970	0	179
2024.07.17	20:00:00	2458.023	2459.428	2457.212	2458.829	2622	0	179
2024.07.17	22:00:00	2458.984	2459.542	2457.968	2459.217	2391	0	179
2024.07.17	23:00:00	2459.256	2461.849	2459.085	2461.296	3659	0	179
2024.07.18	00:00:00	2461.334	2461.451	2457.290	2458.851	4294	0	179
2024.07.18	01:00:00	2458.803	2464.113	2457.576	2462.401	6708	0	179
2024.07.18	02:00:00	2462.428	2465.971	2460.307	2465.532	5149	0	179
2024.07.18	03:00:00	2465.494	2468.886	2465.224	2468.011	5380	0	179
2024.07.18	04:00:00	2468.000	2468.186	2465.066	2465.269	4284	0	179
2024.07.18	05:00:00	2465.309	2469.927	2464.887	2466.949	6213	0	179
2024.07.18	06:00:00	2466.988	2472.150	2464.551	2471.411	6810	0	179
2024.07.18	07:00:00	2471.446	2474.966	2470.754	2471.930	6083	0	179
2024.07.18	08:00:00	2471.959	2473.694	2465.567	2465.986	6068	0	179
2024.07.18	09:00:00	2465.991	2467.688	2464.544	2465.651	5702	0	179
2024.07.18	10:00:00	2465.608	2466.348	2461.488	2464.180	6037	0	179
2024.07.18	11:00:00	2464.149	2466.291	2462.057	2464.461	5207	0	179
2024.07.18	12:00:00	2464.499	2468.765	2462.606	2464.043	9804	0	179
2024.07.18	13:00:00	2464.071	2466.177	2457.522	2464.950	12931	0	179
2024.07.18	14:00:00	2464.971	2469.919	2460.085	2468.397	10222	0	199
2024.07.18	15:00:00	2468.508	2469.098	2461.137	2461.291	8829	0	179
2024.07.18	16:00:00	2461.323	2462.032	2455.740	2456.227	7284	0	179
2024.07.18	17:00:00	2456.209	2457.571	2451.740	2456.278	7179	0	179
2024.07.18	18:00:00	2456.300	2456.453	2450.798	2451.484	5071	0	179
2024.07.18	19:00:00	2451.496	2451.813	2440.226	2442.916	8098	0	179
2024.07.18	20:00:00	2442.965	2445.470	2441.223	2444.902	3430	0	179
2024.07.18	22:00:00	2445.407	2445.563	2443.748	2444.423	2205	0	179
2024.07.18	23:00:00	2444.420	2445.194	2441.233	2441.250	2218	0	179
2024.07.19	00:00:00	2441.292	2441.343	2426.085	2434.301	10635	0	179
2024.07.19	01:00:00	2434.415	2434.632	2420.417	2426.191	13774	0	179
2024.07.19	02:00:00	2426.158	2428.695	2422.592	2428.256	7448	0	179
2024.07.19	03:00:00	2428.258	2429.468	2425.000	2428.700	5298	0	179
2024.07.19	04:00:00	2428.697	2429.321	2423.894	2425.397	4133	0	179
2024.07.19	05:00:00	2425.404	2426.149	2421.091	2423.371	6342	0	179
2024.07.19	06:00:00	2423.352	2424.051	2414.300	2419.943	11289	0	179
2024.07.19	07:00:00	2419.980	2422.171	2412.803	2418.127	7882	0	179
2024.07.19	08:00:00	2418.139	2421.641	2416.307	2420.384	7324	0	179
2024.07.19	09:00:00	2420.429	2421.183	2414.771	2416.122	6111	0	179
2024.07.19	10:00:00	2416.183	2416.372	2410.559	2412.460	6498	0	179
2024.07.19	11:00:00	2412.504	2414.329	2408.411	2410.053	7010	0	179
2024.07.19	12:00:00	2410.059	2410.228	2401.470	2403.745	10978	0	179
2024.07.19	13:00:00	2403.700	2406.724	2393.756	2403.792	20128	0	179
2024.07.19	14:00:00	2403.820	2404.717	2395.971	2397.983	13166	0	179
2024.07.19	15:00:00	2397.935	2408.450	2397.704	2405.378	9414	0	179
2024.07.19	16:00:00	2405.445	2405.968	2399.312	2399.667	5900	0	179
2024.07.19	17:00:00	2399.666	2400.761	2395.640	2399.218	6866	0	179
2024.07.19	18:00:00	2399.214	2400.249	2397.064	2398.602	4613	0	179
2024.07.19	19:00:00	2398.526	2400.123	2397.036	2398.708	4587	0	179
2024.07.19	20:00:00	2398.742	2400.550	2397.783	2400.450	3119	0	179
2024.07.21	22:00:00	2403.680	2411.696	2402.487	2411.319	3389	0	179
2024.07.21	23:00:00	2411.272	2411.931	2409.224	2411.528	3896	0	179
2024.07.22	00:00:00	2411.496	2411.675	2406.839	2407.882	4811	0	179
2024.07.22	01:00:00	2407.832	2412.155	2405.746	2406.398	7770	0	179
2024.07.22	02:00:00	2406.371	2408.167	2403.233	2406.513	6082	0	179
2024.07.22	03:00:00	2406.522	2409.534	2405.861	2406.732	4381	0	179
2024.07.22	04:00:00	2406.690	2407.175	2403.153	2405.508	4195	0	179
2024.07.22	05:00:00	2405.527	2407.353	2402.867	2402.943	5617	0	179
2024.07.22	06:00:00	2402.910	2405.217	2398.881	2402.526	8872	0	179
2024.07.22	07:00:00	2402.553	2404.525	2399.702	2402.507	6608	0	179
2024.07.22	08:00:00	2402.501	2404.676	2399.796	2400.757	5387	0	179
2024.07.22	09:00:00	2400.746	2405.735	2399.802	2404.399	5765	0	179
2024.07.22	10:00:00	2404.448	2408.421	2403.617	2406.871	5097	0	179
2024.07.22	11:00:00	2406.913	2407.583	2397.953	2398.056	5918	0	179
2024.07.22	12:00:00	2398.043	2399.603	2388.755	2394.218	11785	0	179
2024.07.22	13:00:00	2394.248	2400.171	2391.436	2392.687	13103	0	179
2024.07.22	14:00:00	2392.659	2394.804	2383.797	2387.287	12483	0	179
2024.07.22	15:00:00	2387.279	2390.528	2384.177	2386.312	8038	0	179
2024.07.22	16:00:00	2386.304	2393.303	2386.085	2392.980	5979	0	179
2024.07.22	17:00:00	2393.017	2396.393	2391.758	2393.950	5340	0	179
2024.07.22	18:00:00	2393.991	2396.473	2392.462	2395.722	4131	0	179
2024.07.22	19:00:00	2395.702	2400.060	2395.093	2399.000	3841	0	179
2024.07.22	20:00:00	2398.954	2399.486	2395.678	2396.585	2186	0	179
2024.07.22	22:00:00	2397.067	2397.987	2395.056	2395.122	1709	0	179
2024.07.22	23:00:00	2395.132	2396.162	2394.705	2395.783	2293	0	179
2024.07.23	00:00:00	2395.750	2400.309	2395.465	2399.980	3872	0	179
2024.07.23	01:00:00	2400.020	2403.981	2397.831	2401.094	7354	0	179
2024.07.23	02:00:00	2401.046	2402.427	2397.476	2399.643	5271	0	179
2024.07.23	03:00:00	2399.593	2400.775	2396.200	2398.357	5105	0	179
2024.07.23	04:00:00	2398.360	2399.643	2395.748	2396.461	4115	0	179
2024.07.23	05:00:00	2396.455	2396.880	2390.736	2392.621	5320	0	179
2024.07.23	06:00:00	2392.562	2393.727	2388.225	2390.330	7403	0	179
2024.07.23	07:00:00	2390.383	2399.192	2389.971	2397.790	7401	0	179
2024.07.23	08:00:00	2397.823	2407.109	2396.276	2404.075	6807	0	179
2024.07.23	09:00:00	2404.042	2408.091	2403.163	2406.825	6232	0	179
2024.07.23	10:00:00	2406.795	2408.291	2405.577	2407.644	5228	0	179
2024.07.23	11:00:00	2407.604	2412.001	2405.943	2407.614	6061	0	179
2024.07.23	12:00:00	2407.577	2409.281	2403.651	2405.453	7669	0	179
2024.07.23	13:00:00	2405.415	2407.689	2399.515	2401.945	10534	0	179
2024.07.23	14:00:00	2402.053	2407.394	2399.570	2402.880	9368	0	179
2024.07.23	15:00:00	2402.833	2407.193	2402.050	2405.479	6266	0	179
2024.07.23	16:00:00	2405.437	2406.757	2402.935	2405.350	5043	0	179
2024.07.23	17:00:00	2405.302	2408.203	2402.626	2404.917	5507	0	179
2024.07.23	18:00:00	2404.870	2406.281	2403.792	2405.616	4100	0	179
2024.07.23	19:00:00	2405.661	2408.980	2405.325	2407.545	4043	0	179
2024.07.23	20:00:00	2407.504	2410.013	2405.305	2409.404	3018	0	179
2024.07.23	22:00:00	2408.702	2409.675	2408.039	2409.355	1815	0	180
2024.07.23	23:00:00	2409.313	2409.460	2407.817	2408.513	2226	0	179
2024.07.24	00:00:00	2408.558	2410.248	2408.046	2408.310	3373	0	179
2024.07.24	01:00:00	2408.323	2412.203	2404.866	2408.160	7409	0	179
2024.07.24	02:00:00	2408.121	2415.884	2407.128	2414.119	7358	0	179
2024.07.24	03:00:00	2414.147	2418.327	2413.603	2416.406	5548	0	179
2024.07.24	04:00:00	2416.421	2417.963	2414.748	2417.795	4928	0	179
2024.07.24	05:00:00	2417.797	2417.912	2412.978	2416.099	5409	0	179
2024.07.24	06:00:00	2416.045	2419.206	2414.183	2417.498	6616	0	179
2024.07.24	07:00:00	2417.450	2417.830	2411.621	2414.574	5927	0	179
2024.07.24	08:00:00	2414.532	2415.116	2410.681	2411.825	4866	0	179
2024.07.24	09:00:00	2411.864	2414.904	2409.753	2413.447	5396	0	179
2024.07.24	10:00:00	2413.491	2416.433	2412.122	2413.622	5034	0	179
2024.07.24	11:00:00	2413.557	2417.782	2410.532	2417.432	5331	0	179
2024.07.24	12:00:00	2417.469	2422.007	2416.190	2421.426	7663	0	179
2024.07.24	13:00:00	2421.394	2426.737	2413.607	2421.731	13504	0	179
2024.07.24	14:00:00	2421.728	2431.954	2419.164	2430.254	14350	0	179
2024.07.24	15:00:00	2430.303	2431.355	2422.272	2424.757	8724	0	179
2024.07.24	16:00:00	2424.793	2424.918	2418.508	2419.090	6401	0	179
2024.07.24	17:00:00	2419.066	2419.618	2408.036	2409.178	7096	0	179
2024.07.24	18:00:00	2409.126	2409.470	2405.567	2408.258	7147	0	179
2024.07.24	19:00:00	2408.182	2408.700	2398.280	2398.358	6458	0	179
2024.07.24	20:00:00	2398.470	2400.490	2397.054	2397.267	4796	0	179
2024.07.24	22:00:00	2397.531	2398.211	2393.033	2397.822	4403	0	179
2024.07.24	23:00:00	2397.859	2401.193	2397.011	2398.669	3823	0	179
2024.07.25	00:00:00	2398.720	2399.320	2395.987	2397.104	6015	0	179
2024.07.25	01:00:00	2397.062	2399.985	2370.423	2376.350	22562	0	179
2024.07.25	02:00:00	2376.339	2380.673	2369.860	2372.580	14315	0	179
2024.07.25	03:00:00	2372.508	2375.567	2366.774	2374.755	9309	0	179
2024.07.25	04:00:00	2374.704	2378.042	2373.111	2377.547	5701	0	179
2024.07.25	05:00:00	2377.564	2377.838	2369.022	2376.255	7433	0	179
